food_category,food_name,per_100_ml_or_gm,cal_per_100_ml_or_gms,kj_per_100_ml_or_gms,per_serving,cal_per_serving,kj_per_serving,per_ounces,cal_per_ounces,kj_per_ounces
Meat,Beef Jerky,100g,410 cal,1722 kJ,1 piece (20 g),82 cal,344 kJ,1 oz. (28 g),115 cal,482 kJ
Meat,Beef Ribs,100g,238 cal,1000 kJ,1 piece (225 g),536 cal,2250 kJ,1 oz. (28 g),67 cal,280 kJ
Meat,Beef Tenderloin,100g,218 cal,916 kJ,1 steak (140 g),305 cal,1282 kJ,1 oz. (28 g),61 cal,256 kJ
Meat,Chicken,100g,219 cal,920 kJ,1/2 chicken (334 g),731 cal,3073 kJ,1 oz. (28 g),61 cal,258 kJ
Meat,Chicken Breast,100g,172 cal,722 kJ,1 breast (200 g),344 cal,1444 kJ,1 oz. (28 g),48 cal,202 kJ
Meat,Chicken Drumstick,100g,185 cal,777 kJ,1 drumstick (71 g),131 cal,552 kJ,1 oz. (28 g),52 cal,218 kJ
Meat,Chicken Fat,100g,898 cal,3772 kJ,1 cup (205 g),1841 cal,7733 kJ,1 oz. (28 g),251 cal,1056 kJ
Meat,Chicken Giblets,100g,158 cal,664 kJ,1 cup (145 g),229 cal,963 kJ,1 oz. (28 g),44 cal,186 kJ
Meat,Chicken Gizzards,100g,146 cal,613 kJ,1 cup (145 g),212 cal,889 kJ,1 oz. (28 g),41 cal,172 kJ
Meat,Chicken Leg,100g,174 cal,731 kJ,1 leg (199 g),346 cal,1455 kJ,1 oz. (28 g),49 cal,205 kJ
Meat,Chicken Liver,100g,167 cal,701 kJ,1 liver (44 g),73 cal,308 kJ,1 oz. (28 g),47 cal,196 kJ
Meat,Chicken Meat,100g,172 cal,722 kJ,1 breast (200 g),344 cal,1444 kJ,1 oz. (28 g),48 cal,202 kJ
Meat,Chicken Thigh,100g,229 cal,962 kJ,1 thigh (111 g),254 cal,1068 kJ,1 oz. (28 g),64 cal,269 kJ
Meat,Chicken Wing,100g,266 cal,1117 kJ,1 wing (29 g),77 cal,324 kJ,1 oz. (28 g),74 cal,313 kJ
Meat,Chuck Steak,100g,277 cal,1163 kJ,1 steak (310 g),859 cal,3605 kJ,1 oz. (28 g),78 cal,326 kJ
Meat,Cubed Steak,100g,199 cal,836 kJ,1 serving (165 g),328 cal,1379 kJ,1 oz. (28 g),56 cal,234 kJ
Meat,Duck,100g,337 cal,1415 kJ,1/2 duck (634 g),2137 cal,8971 kJ,1 oz. (28 g),94 cal,396 kJ
Meat,Filet Mignon,100g,267 cal,1121 kJ,1 fillet (104 g),278 cal,1166 kJ,1 oz. (28 g),75 cal,314 kJ
Meat,Flank Steak,100g,194 cal,815 kJ,1 steak (188 g),365 cal,1532 kJ,1 oz. (28 g),54 cal,228 kJ
Meat,Flat Iron Steak,100g,137 cal,575 kJ,1 steak (252 g),345 cal,1449 kJ,1 oz. (28 g),38 cal,161 kJ
Meat,Ground Beef,100g,246 cal,1033 kJ,1 patty (70 g),172 cal,723 kJ,1 oz. (28 g),69 cal,289 kJ
Meat,Ground Round,100g,246 cal,1033 kJ,1 piece (113 g),278 cal,1167 kJ,1 oz. (28 g),69 cal,289 kJ
Meat,Ham,100g,163 cal,685 kJ,1 slice (145 g),236 cal,993 kJ,1 oz. (28 g),46 cal,192 kJ
Meat,New York Strip Steak,100g,199 cal,836 kJ,1 steak (214 g),426 cal,1789 kJ,1 oz. (28 g),56 cal,234 kJ
Meat,Ostrich,100g,145 cal,609 kJ,1 serving (85 g),123 cal,518 kJ,1 oz. (28 g),41 cal,171 kJ
Meat,Pork,100g,196 cal,823 kJ,1 chop (185 g),363 cal,1523 kJ,1 oz. (28 g),55 cal,230 kJ
Meat,Pork Baby Back Ribs,100g,212 cal,890 kJ,1 rib (70 g),148 cal,623 kJ,1 oz. (28 g),59 cal,249 kJ
Meat,Pork Chops,100g,196 cal,823 kJ,1 chop (131 g),257 cal,1078 kJ,1 oz. (28 g),55 cal,230 kJ
Meat,Pork Country-Style Ribs,100g,247 cal,1037 kJ,1 rib (60 g),148 cal,622 kJ,1 oz. (28 g),69 cal,290 kJ
Meat,Pork Loin,100g,204 cal,857 kJ,1 chop (83 g),169 cal,711 kJ,1 oz. (28 g),57 cal,240 kJ
Meat,Pork Roast,100g,254 cal,1067 kJ,1 roast (830 g),2108 cal,8856 kJ,1 oz. (28 g),71 cal,299 kJ
Meat,Pork Steaks,100g,196 cal,823 kJ,1 steak (264 g),517 cal,2173 kJ,1 oz. (28 g),55 cal,230 kJ
Meat,Roast Beef,100g,140 cal,588 kJ,1 roast (515 g),721 cal,3028 kJ,1 oz. (28 g),39 cal,165 kJ
Meat,Round Steak,100g,182 cal,764 kJ,1 steak (236 g),430 cal,1803 kJ,1 oz. (28 g),51 cal,214 kJ
Meat,Schnitzel,100g,156 cal,655 kJ,1 schnitzel (130 g),203 cal,852 kJ,1 oz. (28 g),44 cal,183 kJ
Meat,Spare Ribs,100g,238 cal,1000 kJ,1 rack (1400 g),3332 cal,14000 kJ,1 oz. (28 g),67 cal,280 kJ
Meat,Standing Rib Roast,100g,333 cal,1399 kJ,1 serving (113 g),376 cal,1581 kJ,1 oz. (28 g),93 cal,392 kJ
Meat,T-Bone Steak,100g,202 cal,848 kJ,1 steak (287 g),580 cal,2434 kJ,1 oz. (28 g),57 cal,237 kJ
Meat,Turkey,100g,189 cal,794 kJ,1 turkey (3812 g),7205 cal,30267 kJ,1 oz. (28 g),53 cal,222 kJ
Meat,Turkey Breast,100g,135 cal,567 kJ,1/2 breast (864 g),1166 cal,4899 kJ,1 oz. (28 g),38 cal,159 kJ
Meat,Turkey Legs,100g,208 cal,874 kJ,1 leg (546 g),1136 cal,4772 kJ,1 oz. (28 g),58 cal,245 kJ
Meat,Turkey Steak,100g,189 cal,794 kJ,1 steak (170 g),321 cal,1350 kJ,1 oz. (28 g),53 cal,222 kJ
Meat,Turkey Wings,100g,221 cal,928 kJ,1 wing (24 g),53 cal,223 kJ,1 oz. (28 g),62 cal,260 kJ
Milk & Dairy Products,Almond Milk,100ml,17 cal,71 kJ,1 cup (235 ml),40 cal,167 kJ,1 fl. oz. (30 ml),5 cal,21 kJ
Milk & Dairy Products,Buttermilk,100ml,62 cal,260 kJ,1 cup (254 ml),157 cal,660 kJ,1 fl. oz. (30 ml),19 cal,78 kJ
Milk & Dairy Products,Chocolate Mousse,100g,225 cal,945 kJ,1/2 cup (202 g),455 cal,1909 kJ,1 oz. (28 g),63 cal,265 kJ
Milk & Dairy Products,Coconut Milk,100ml,230 cal,966 kJ,1 cup (240 ml),552 cal,2318 kJ,1 fl. oz. (30 ml),69 cal,290 kJ
Milk & Dairy Products,Coffee Creamer,100g,195 cal,819 kJ,1 tbsp (15 g),29 cal,123 kJ,1 oz. (28 g),55 cal,229 kJ
Milk & Dairy Products,Condensed Milk,100g,321 cal,1348 kJ,1 cup (306 g),982 cal,4125 kJ,1 oz. (28 g),90 cal,377 kJ
Milk & Dairy Products,Cottage Cheese,100g,98 cal,412 kJ,1 cup (210 g),206 cal,865 kJ,1 oz. (28 g),27 cal,115 kJ
Milk & Dairy Products,Cream,100g,242 cal,1016 kJ,1 tbsp (15 g),36 cal,152 kJ,1 oz. (28 g),68 cal,284 kJ
Milk & Dairy Products,Creme Fraiche,100g,393 cal,1651 kJ,1 tbsp (14 g),55 cal,231 kJ,1 oz. (28 g),110 cal,462 kJ
Milk & Dairy Products,Curd,100g,98 cal,412 kJ,1 cup (210 g),206 cal,865 kJ,1 oz. (28 g),27 cal,115 kJ
Milk & Dairy Products,Custard,100g,122 cal,512 kJ,1/2 cup (141 g),172 cal,722 kJ,1 oz. (28 g),34 cal,143 kJ
Milk & Dairy Products,Evaporated Milk,100g,135 cal,567 kJ,1 cup (252 g),340 cal,1429 kJ,1 oz. (28 g),38 cal,159 kJ
Milk & Dairy Products,Goat Milk,100g,69 cal,290 kJ,1 cup (244 g),168 cal,708 kJ,1 oz. (28 g),19 cal,81 kJ
Milk & Dairy Products,Hot Chocolate,100ml,89 cal,374 kJ,1 cup (266 ml),237 cal,995 kJ,1 fl. oz. (30 ml),27 cal,112 kJ
Milk & Dairy Products,Kefir,100ml,55 cal,231 kJ,1 cup (246 ml),135 cal,568 kJ,1 fl. oz. (30 ml),17 cal,69 kJ
Milk & Dairy Products,Lactose-free Milk,100ml,52 cal,218 kJ,1 cup (250 ml),130 cal,545 kJ,1 fl. oz. (30 ml),16 cal,65 kJ
Milk & Dairy Products,Lassi,100ml,75 cal,315 kJ,1 glass (200 ml),150 cal,630 kJ,1 fl. oz. (30 ml),23 cal,95 kJ
Milk & Dairy Products,Milk,100ml,61 cal,256 kJ,1 cup (244 ml),149 cal,625 kJ,1 fl. oz. (30 ml),18 cal,77 kJ
Milk & Dairy Products,Plain Yogurt,100g,61 cal,256 kJ,1 container (227 g),138 cal,581 kJ,1 oz. (28 g),17 cal,72 kJ
Milk & Dairy Products,Powdered Milk,100g,496 cal,2083 kJ,1 cup (68 g),337 cal,1416 kJ,1 oz. (28 g),139 cal,583 kJ
Milk & Dairy Products,Quark,100g,145 cal,609 kJ,1 cup (220 g),319 cal,1340 kJ,1 oz. (28 g),41 cal,171 kJ
Milk & Dairy Products,Rice Milk,100ml,49 cal,206 kJ,1 cup (245 ml),120 cal,505 kJ,1 fl. oz. (30 ml),15 cal,62 kJ
Milk & Dairy Products,Rice Pudding,100g,118 cal,496 kJ,1 serving (113 g),133 cal,560 kJ,1 oz. (28 g),33 cal,139 kJ
Milk & Dairy Products,Semi-skimmed Milk,100ml,50 cal,210 kJ,1 serving (250 ml),125 cal,525 kJ,1 fl. oz. (30 ml),15 cal,63 kJ
Milk & Dairy Products,Semolina Pudding,100g,67 cal,281 kJ,1 serving (143 g),96 cal,402 kJ,1 oz. (28 g),19 cal,79 kJ
Milk & Dairy Products,Skim Milk,100ml,35 cal,147 kJ,1 cup (247 ml),86 cal,363 kJ,1 fl. oz. (30 ml),11 cal,44 kJ
Milk & Dairy Products,Sour Cream,100g,181 cal,760 kJ,1 tbsp (12 g),22 cal,91 kJ,1 oz. (28 g),51 cal,213 kJ
Milk & Dairy Products,Soy Milk,100ml,45 cal,189 kJ,1 cup (243 ml),109 cal,459 kJ,1 fl. oz. (30 ml),14 cal,57 kJ
Milk & Dairy Products,Sweetened Condensed Milk,100ml,321 cal,1348 kJ,1 cup (306 ml),982 cal,4125 kJ,1 fl. oz. (30 ml),96 cal,404 kJ
Milk & Dairy Products,Tzatziki,100g,117 cal,491 kJ,1 tbsp (15 g),18 cal,74 kJ,1 oz. (28 g),33 cal,137 kJ
Milk & Dairy Products,Whipped Cream,100g,257 cal,1079 kJ,1 tbsp (3 g),8 cal,32 kJ,1 oz. (28 g),72 cal,302 kJ
Milk & Dairy Products,Whole Milk,100ml,61 cal,256 kJ,1 cup (244 ml),149 cal,625 kJ,1 fl. oz. (30 ml),18 cal,77 kJ
Milk & Dairy Products,Yogurt,100g,61 cal,256 kJ,1 container (227 g),138 cal,581 kJ,1 oz. (28 g),17 cal,72 kJ
Non-Alcoholic Drinks & Beverages,ACE Drink,100ml,44 cal,185 kJ,1/2 litre (500 ml),220 cal,925 kJ,1 fl. oz. (30 ml),13 cal,56 kJ
Non-Alcoholic Drinks & Beverages,Apple Spritzer,100ml,24 cal,101 kJ,1/2 litre (500 ml),120 cal,505 kJ,1 fl. oz. (30 ml),7 cal,30 kJ
Non-Alcoholic Drinks & Beverages,Chai,100ml,0 cal,0 kJ,1 cup (236 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Non-Alcoholic Drinks & Beverages,Chai Tea,100ml,0 cal,0 kJ,1 cup (236 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Non-Alcoholic Drinks & Beverages,Chocolate Milk,100ml,89 cal,374 kJ,1 cup (266 ml),237 cal,995 kJ,1 fl. oz. (30 ml),27 cal,112 kJ
Non-Alcoholic Drinks & Beverages,Chocolate Milkshake,100ml,125 cal,525 kJ,10 fl. oz. (283 ml),354 cal,1486 kJ,1 fl. oz. (30 ml),38 cal,158 kJ
Non-Alcoholic Drinks & Beverages,Club Mate,100ml,30 cal,126 kJ,1/2 litre (500 ml),150 cal,630 kJ,1 fl. oz. (30 ml),9 cal,38 kJ
Non-Alcoholic Drinks & Beverages,Coca Cola,100ml,42 cal,176 kJ,1 can (330 ml),139 cal,581 kJ,1 fl. oz. (30 ml),13 cal,53 kJ
Non-Alcoholic Drinks & Beverages,Coffee,100ml,1 cal,4 kJ,1 cup (237 ml),2 cal,9 kJ,1 fl. oz. (30 ml),0 cal,1 kJ
Non-Alcoholic Drinks & Beverages,Coke Zero,100ml,1 cal,4 kJ,1 can (330 ml),3 cal,13 kJ,1 fl. oz. (30 ml),0 cal,1 kJ
Non-Alcoholic Drinks & Beverages,Cola,100ml,42 cal,176 kJ,1 can (330 ml),139 cal,581 kJ,1 fl. oz. (30 ml),13 cal,53 kJ
Non-Alcoholic Drinks & Beverages,Crystal Light,100ml,263 cal,1105 kJ,8 fl. oz. (237 ml),623 cal,2619 kJ,1 fl. oz. (30 ml),79 cal,332 kJ
Non-Alcoholic Drinks & Beverages,Diet Coke,100ml,1 cal,4 kJ,1 can (330 ml),3 cal,13 kJ,1 fl. oz. (30 ml),0 cal,1 kJ
Non-Alcoholic Drinks & Beverages,Egg Cream,100ml,94 cal,395 kJ,1 serving (125 ml),118 cal,494 kJ,1 fl. oz. (30 ml),28 cal,119 kJ
Non-Alcoholic Drinks & Beverages,Egg Nog,100ml,88 cal,370 kJ,1 cup (254 ml),224 cal,940 kJ,1 fl. oz. (30 ml),26 cal,111 kJ
Non-Alcoholic Drinks & Beverages,Elderflower Cordial,100ml,29 cal,122 kJ,8 oz. (227 ml),66 cal,277 kJ,1 fl. oz. (30 ml),9 cal,37 kJ
Non-Alcoholic Drinks & Beverages,Evian,100ml,0 cal,0 kJ,1 bottle (500 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Non-Alcoholic Drinks & Beverages,Gatorade,100ml,23 cal,97 kJ,12 fl. oz. (355 ml),82 cal,344 kJ,1 fl. oz. (30 ml),7 cal,29 kJ
Non-Alcoholic Drinks & Beverages,Ginger Tea,100ml,0 cal,0 kJ,1 cup (254 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Non-Alcoholic Drinks & Beverages,Hawaiian Punch,100ml,31 cal,130 kJ,8 oz. (227 ml),70 cal,295 kJ,1 fl. oz. (30 ml),9 cal,39 kJ
Non-Alcoholic Drinks & Beverages,Hi-C,100ml,49 cal,206 kJ,12 fl. oz. (253 ml),124 cal,521 kJ,1 fl. oz. (30 ml),15 cal,62 kJ
Non-Alcoholic Drinks & Beverages,Horchata,100ml,54 cal,227 kJ,8 fl. oz. (240 ml),130 cal,545 kJ,1 fl. oz. (30 ml),16 cal,68 kJ
Non-Alcoholic Drinks & Beverages,Hot Chocolate,100ml,89 cal,374 kJ,1 cup (266 ml),237 cal,995 kJ,1 fl. oz. (30 ml),27 cal,112 kJ
Non-Alcoholic Drinks & Beverages,Ice Tea,100ml,27 cal,113 kJ,12 fl. oz. (355 ml),96 cal,401 kJ,1 fl. oz. (30 ml),8 cal,34 kJ
Non-Alcoholic Drinks & Beverages,Iced Tea,100ml,27 cal,113 kJ,12 fl. oz. (355 ml),96 cal,401 kJ,1 fl. oz. (30 ml),8 cal,34 kJ
Non-Alcoholic Drinks & Beverages,Karamalz,100ml,37 cal,155 kJ,1 cup (237 ml),88 cal,367 kJ,1 fl. oz. (30 ml),11 cal,47 kJ
Non-Alcoholic Drinks & Beverages,Kombucha,100ml,13 cal,55 kJ,8 oz. (227 ml),30 cal,125 kJ,1 fl. oz. (30 ml),4 cal,17 kJ
Non-Alcoholic Drinks & Beverages,Kool-Aid,100ml,26 cal,109 kJ,8 fl. oz. (237 ml),62 cal,258 kJ,1 fl. oz. (30 ml),8 cal,33 kJ
Non-Alcoholic Drinks & Beverages,Lassi,100ml,104 cal,437 kJ,1 cup (250 ml),260 cal,1093 kJ,1 fl. oz. (30 ml),31 cal,131 kJ
Non-Alcoholic Drinks & Beverages,Latte Macchiato,100ml,57 cal,239 kJ,1 cup (300 ml),171 cal,717 kJ,1 fl. oz. (30 ml),17 cal,72 kJ
Non-Alcoholic Drinks & Beverages,Lemonade,100ml,42 cal,176 kJ,12 fl. oz. (355 ml),149 cal,625 kJ,1 fl. oz. (30 ml),13 cal,53 kJ
Non-Alcoholic Drinks & Beverages,Malt Beer,100ml,37 cal,155 kJ,1 cup (237 ml),88 cal,367 kJ,1 fl. oz. (30 ml),11 cal,47 kJ
Non-Alcoholic Drinks & Beverages,Milk,100ml,61 cal,256 kJ,1 cup (244 ml),149 cal,625 kJ,1 fl. oz. (30 ml),18 cal,77 kJ
Non-Alcoholic Drinks & Beverages,Milkshake (dry),100g,329 cal,1382 kJ,1 tbsp (7 g),23 cal,97 kJ,1 oz. (28 g),92 cal,387 kJ
Non-Alcoholic Drinks & Beverages,Milo,100g,409 cal,1718 kJ,3 tbsp (24 g),98 cal,412 kJ,1 oz. (28 g),115 cal,481 kJ
Non-Alcoholic Drinks & Beverages,Nectar,100ml,53 cal,223 kJ,8 oz. (227 ml),120 cal,506 kJ,1 fl. oz. (30 ml),16 cal,67 kJ
Non-Alcoholic Drinks & Beverages,Nestea,100ml,36 cal,151 kJ,1 cup (240 ml),86 cal,362 kJ,1 fl. oz. (30 ml),11 cal,45 kJ
Non-Alcoholic Drinks & Beverages,Non-alcoholic Beer,100ml,37 cal,155 kJ,"1 can, bottle (354 ml)",131 cal,549 kJ,1 fl. oz. (30 ml),11 cal,47 kJ
Non-Alcoholic Drinks & Beverages,Powerade,100ml,16 cal,67 kJ,1 bottle (500 ml),80 cal,335 kJ,1 fl. oz. (30 ml),5 cal,20 kJ
Non-Alcoholic Drinks & Beverages,Slurpee,100ml,4 cal,17 kJ,8 oz. (240 ml),10 cal,41 kJ,1 fl. oz. (30 ml),1 cal,5 kJ
Non-Alcoholic Drinks & Beverages,Slush Puppie,100ml,50 cal,210 kJ,8 fl. oz. (237 ml),119 cal,498 kJ,1 fl. oz. (30 ml),15 cal,63 kJ
Non-Alcoholic Drinks & Beverages,Smoothie,100ml,37 cal,155 kJ,8 oz. (240 ml),89 cal,372 kJ,1 fl. oz. (30 ml),11 cal,47 kJ
Non-Alcoholic Drinks & Beverages,Soy Milk,100ml,45 cal,189 kJ,1 cup (243 ml),109 cal,459 kJ,1 fl. oz. (30 ml),14 cal,57 kJ
Non-Alcoholic Drinks & Beverages,Strawberry Milkshake,100ml,113 cal,475 kJ,10 fl. oz. (283 ml),320 cal,1344 kJ,1 fl. oz. (30 ml),34 cal,143 kJ
Non-Alcoholic Drinks & Beverages,Tang,100g,381 cal,1600 kJ,1/8 cup (24 g),91 cal,384 kJ,1 oz. (28 g),107 cal,448 kJ
Non-Alcoholic Drinks & Beverages,Tap Water,100ml,0 cal,0 kJ,1 fl. oz. (29.6 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Non-Alcoholic Drinks & Beverages,Tea,100ml,1 cal,4 kJ,1 cup (237 ml),2 cal,9 kJ,1 fl. oz. (30 ml),0 cal,1 kJ
Non-Alcoholic Drinks & Beverages,Vanilla Milkshake,100ml,149 cal,626 kJ,10 fl. oz. (283 ml),422 cal,1772 kJ,1 fl. oz. (30 ml),45 cal,188 kJ
Non-Alcoholic Drinks & Beverages,Volvic,100ml,0 cal,0 kJ,1/2 litre (500 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Non-Alcoholic Drinks & Beverages,Water,100ml,0 cal,0 kJ,1 fl. oz. (29.6 ml),0 cal,0 kJ,1 fl. oz. (30 ml),0 cal,0 kJ
Non-Alcoholic Drinks & Beverages,Yerba Mate,100ml,62 cal,260 kJ,1 serving (50 ml),31 cal,130 kJ,1 fl. oz. (30 ml),19 cal,78 kJ
Nuts & Seeds,Acorn,100g,387 cal,1625 kJ,1 oz. (28.35 g),108 cal,455 kJ,1 oz. (28 g),108 cal,455 kJ
Nuts & Seeds,Alfalfa Sprouts,100g,23 cal,97 kJ,1 cup (33 g),8 cal,32 kJ,1 oz. (28 g),6 cal,27 kJ
Nuts & Seeds,Almonds,100g,575 cal,2415 kJ,1 cup (95 g),546 cal,2294 kJ,1 oz. (28 g),161 cal,676 kJ
Nuts & Seeds,Beechnut,100g,576 cal,2419 kJ,1 oz. (28.35 g),161 cal,677 kJ,1 oz. (28 g),161 cal,677 kJ
Nuts & Seeds,Brazil Nuts,100g,656 cal,2755 kJ,1 cup (133 g),872 cal,3664 kJ,1 oz. (28 g),184 cal,771 kJ
Nuts & Seeds,Breadfruit,100g,191 cal,802 kJ,1 oz. (28.35 g),53 cal,225 kJ,1 oz. (28 g),53 cal,225 kJ
Nuts & Seeds,Butternut,100g,612 cal,2570 kJ,1 cup (120 g),734 cal,3084 kJ,1 oz. (28 g),171 cal,720 kJ
Nuts & Seeds,Cashew,100g,553 cal,2323 kJ,1 oz. (28.35 g),155 cal,650 kJ,1 oz. (28 g),155 cal,650 kJ
Nuts & Seeds,Chestnut,100g,213 cal,895 kJ,1 cup (145 g),309 cal,1298 kJ,1 oz. (28 g),60 cal,251 kJ
Nuts & Seeds,Chia Seeds,100g,486 cal,2041 kJ,1 oz. (28.35 g),136 cal,571 kJ,1 oz. (28 g),136 cal,571 kJ
Nuts & Seeds,Coconut,100g,354 cal,1487 kJ,1 coconut (397 g),1405 cal,5903 kJ,1 oz. (28 g),99 cal,416 kJ
Nuts & Seeds,Cotton Seeds,100g,506 cal,2125 kJ,1 cup (149 g),754 cal,3166 kJ,1 oz. (28 g),142 cal,595 kJ
Nuts & Seeds,Flaxseed,100g,534 cal,2243 kJ,1 cup (168 g),897 cal,3768 kJ,1 oz. (28 g),150 cal,628 kJ
Nuts & Seeds,Ginkgo Nuts,100g,182 cal,764 kJ,1 oz. (28.35 g),51 cal,214 kJ,1 oz. (28 g),51 cal,214 kJ
Nuts & Seeds,Goa Bean,100g,409 cal,1718 kJ,1 cup (182 g),744 cal,3127 kJ,1 oz. (28 g),115 cal,481 kJ
Nuts & Seeds,Hazelnut,100g,628 cal,2638 kJ,1 cup (75 g),471 cal,1979 kJ,1 oz. (28 g),176 cal,739 kJ
Nuts & Seeds,Hickory Nuts,100g,657 cal,2759 kJ,1 cup (120 g),788 cal,3311 kJ,1 oz. (28 g),184 cal,773 kJ
Nuts & Seeds,Lima Beans,100g,71 cal,298 kJ,1/2 cup (124 g),88 cal,370 kJ,1 oz. (28 g),20 cal,83 kJ
Nuts & Seeds,Lotus Seed,100g,89 cal,374 kJ,1 oz. (28.35 g),25 cal,105 kJ,1 oz. (28 g),25 cal,105 kJ
Nuts & Seeds,Macadamia Nuts,100g,718 cal,3016 kJ,1 cup (134 g),962 cal,4041 kJ,1 oz. (28 g),201 cal,844 kJ
Nuts & Seeds,Peanuts,100g,567 cal,2381 kJ,1 cup (146 g),828 cal,3476 kJ,1 oz. (28 g),159 cal,667 kJ
Nuts & Seeds,Peas,100g,81 cal,340 kJ,1 cup (145 g),117 cal,493 kJ,1 oz. (28 g),23 cal,95 kJ
Nuts & Seeds,Pecan Nuts,100g,691 cal,2902 kJ,1 cup (99 g),684 cal,2873 kJ,1 oz. (28 g),193 cal,813 kJ
Nuts & Seeds,Pecans,100g,691 cal,2902 kJ,1 cup (99 g),684 cal,2873 kJ,1 oz. (28 g),193 cal,813 kJ
Nuts & Seeds,Pili Nuts,100g,719 cal,3020 kJ,1 cup (120 g),863 cal,3624 kJ,1 oz. (28 g),201 cal,846 kJ
Nuts & Seeds,Pine Nuts,100g,673 cal,2827 kJ,1 cup (135 g),909 cal,3816 kJ,1 oz. (28 g),188 cal,792 kJ
Nuts & Seeds,Pinto Beans,100g,347 cal,1457 kJ,1 cup (193 g),670 cal,2812 kJ,1 oz. (28 g),97 cal,408 kJ
Nuts & Seeds,Pistachios,100g,562 cal,2360 kJ,1 cup (123 g),691 cal,2903 kJ,1 oz. (28 g),157 cal,661 kJ
Nuts & Seeds,Poppy Seeds,100g,525 cal,2205 kJ,1 tbsp (8.8 g),42 cal,176 kJ,1 oz. (28 g),147 cal,617 kJ
Nuts & Seeds,Pumpkin Seeds,100g,559 cal,2348 kJ,1 cup (129 g),721 cal,3029 kJ,1 oz. (28 g),157 cal,657 kJ
Nuts & Seeds,Radish Seeds,100g,43 cal,181 kJ,1 cup (38 g),16 cal,69 kJ,1 oz. (28 g),12 cal,51 kJ
Nuts & Seeds,Safflower Seeds,100g,517 cal,2171 kJ,1 oz. (28.35 g),145 cal,608 kJ,1 oz. (28 g),145 cal,608 kJ
Nuts & Seeds,Sesame Seeds,100g,573 cal,2407 kJ,1 cup (144 g),825 cal,3466 kJ,1 oz. (28 g),160 cal,674 kJ
Nuts & Seeds,Smoked Almonds,100g,575 cal,2415 kJ,1 cup (95 g),546 cal,2294 kJ,1 oz. (28 g),161 cal,676 kJ
Nuts & Seeds,Soy Beans,100g,147 cal,617 kJ,1 cup (256 g),376 cal,1580 kJ,1 oz. (28 g),41 cal,173 kJ
Nuts & Seeds,Sunflower Seeds,100g,584 cal,2453 kJ,1 cup (140 g),818 cal,3434 kJ,1 oz. (28 g),164 cal,687 kJ
Nuts & Seeds,Sweet Chestnut,100g,194 cal,815 kJ,1 oz. (28.35 g),54 cal,228 kJ,1 oz. (28 g),54 cal,228 kJ
Nuts & Seeds,Walnuts,100g,654 cal,2747 kJ,1 cup (80 g),523 cal,2198 kJ,1 oz. (28 g),183 cal,769 kJ
Nuts & Seeds,Watermelon,100g,30 cal,126 kJ,1 wedge (286 g),86 cal,360 kJ,1 oz. (28 g),8 cal,35 kJ
"Oatmeal, Muesli & Cereals",Bran Flakes,100g,356 cal,1495 kJ,1 serving (37.5 g),132 cal,553 kJ,1 oz. (28 g),100 cal,419 kJ
"Oatmeal, Muesli & Cereals",Cap’n Crunch,100g,404 cal,1697 kJ,1 serving (37.5 g),149 cal,628 kJ,1 oz. (28 g),113 cal,475 kJ
"Oatmeal, Muesli & Cereals",Cheerios,100g,347 cal,1457 kJ,1 serving (37.5 g),128 cal,539 kJ,1 oz. (28 g),97 cal,408 kJ
"Oatmeal, Muesli & Cereals",Chex,100g,387 cal,1625 kJ,1 serving (37.5 g),143 cal,601 kJ,1 oz. (28 g),108 cal,455 kJ
"Oatmeal, Muesli & Cereals",Chocolate Cheerios,100g,367 cal,1541 kJ,1 serving (37.5 g),136 cal,570 kJ,1 oz. (28 g),103 cal,431 kJ
"Oatmeal, Muesli & Cereals",Chocos,100g,380 cal,1596 kJ,1 serving (37.5 g),141 cal,591 kJ,1 oz. (28 g),106 cal,447 kJ
"Oatmeal, Muesli & Cereals",Cinnamon Toast Crunch,100g,433 cal,1819 kJ,1 serving (37.5 g),160 cal,673 kJ,1 oz. (28 g),121 cal,509 kJ
"Oatmeal, Muesli & Cereals",Coco Pops,100g,376 cal,1579 kJ,1 serving (37.5 g),139 cal,584 kJ,1 oz. (28 g),105 cal,442 kJ
"Oatmeal, Muesli & Cereals",Cocoa Krispies,100g,386 cal,1621 kJ,1 serving (37.5 g),143 cal,600 kJ,1 oz. (28 g),108 cal,454 kJ
"Oatmeal, Muesli & Cereals",Cocoa Pebbles,100g,367 cal,1541 kJ,1 serving (37.5 g),136 cal,570 kJ,1 oz. (28 g),103 cal,431 kJ
"Oatmeal, Muesli & Cereals",Cocoa Puffs,100g,400 cal,1680 kJ,1 serving (37.5 g),148 cal,622 kJ,1 oz. (28 g),112 cal,470 kJ
